y,y,page,page.n.01,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
n,n,page,page.n.02,English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
n,n,page,page.n.03,United States diplomat and writer about the Old South (1853-1922)
n,n,page,page.n.04,a boy who is employed to run errands
n,n,page,page.n.05,a youthful attendant at official functions or ceremonies such as legislative functions and weddings
n,n,page,page.n.06,in medieval times a youth acting as a knight's attendant as the first stage in training for knighthood
y,y,book,book.n.01,a written work or composition that has been published (printed on pages bound together)
n,y,book,book.n.02,physical objects consisting of a number of pages bound together
y,y,book,record.n.05,a compilation of the known facts regarding something or someone
y,y,book,script.n.01,a written version of a play or other dramatic composition; used in preparing for a performance
y,y,book,ledger.n.01,a record in which commercial accounts are recorded
n,n,book,book.n.06,a collection of playing cards satisfying the rules of a card game
y,y,book,book.n.07,a collection of rules or prescribed standards on the basis of which decisions are made
y,y,book,koran.n.01,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
y,y,book,bible.n.01,the sacred writings of the Christian religions
y,y,book,book.n.10,a major division of a long written composition
n,n,book,book.n.11,a number of sheets (ticket or stamps etc.) bound together on one edge
n,n,case,case.n.01,an occurrence of something
n,n,case,event.n.02,a special set of circumstances
y,y,case,lawsuit.n.01,a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
n,n,case,case.n.04,the actual state of things
n,n,case,case.n.05,a portable container for carrying several objects
n,n,case,case.n.06,a person requiring professional services
n,n,case,subject.n.06,a person who is subjected to experimental or other observational procedures; someone who is an object of investigation
n,n,case,case.n.08,a problem requiring investigation
y,y,case,case.n.09,a statement of facts and reasons used to support an argument
n,n,case,case.n.10,the quantity contained in a case
n,n,case,case.n.11,nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence
n,y,case,case.n.12,a specific state of mind that is temporary
n,n,case,character.n.05,a person of a specified kind (usually with many eccentricities)
y,n,case,font.n.01,a specific size and style of type within a type family
n,n,case,sheath.n.02,an enveloping structure or covering enclosing an animal or plant organ or part
n,n,case,shell.n.08,the housing or outer covering of something
n,n,case,casing.n.03,the enclosing frame around a door or window opening
n,n,case,case.n.18,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers"
n,n,case,case.n.19,bed linen consisting of a cover for a pillow
n,n,case,case.n.20,a glass container used to store and display items in a shop or museum or home
y,y,example,example.n.01,an item of information that is typical of a class or group
n,y,example,model.n.07,a representative form or pattern
n,n,example,exemplar.n.01,something to be imitated
n,y,example,example.n.04,punishment intended as a warning to others
n,n,example,case.n.01,an occurrence of something
y,y,example,exercise.n.04,a task performed or problem solved in order to develop skill or understanding
y,n,point,point.n.01,a geometric element that has position but no extension
n,n,point,point.n.02,the precise location of something; a spatially limited location
y,y,point,point.n.03,a brief version of the essential meaning of something
y,y,point,detail.n.01,an isolated fact that is considered separately from the whole
n,n,point,degree.n.02,a specific identifiable position in a continuum or series or especially in a process
n,n,point,point.n.06,an instant of time
n,n,point,point.n.07,the object of an activity
n,n,point,point.n.08,a V shape
n,n,point,point.n.09,a very small circular shape
n,n,point,point.n.10,the unit of counting in scoring a game or contest
n,n,point,point.n.11,a promontory extending out into a large body of water
y,y,point,item.n.01,a distinct part that can be specified separately in a group of things that could be enumerated on a list
y,y,point,point.n.13,a style in speech or writing that arrests attention and has a penetrating or convincing quality or effect
n,n,point,point.n.14,an outstanding characteristic
n,n,point,point.n.15,sharp end
n,n,point,compass_point.n.01,any of 32 horizontal directions indicated on the card of a compass
n,n,point,point.n.17,a linear unit used to measure the size of type; approximately 1/72 inch
n,n,point,point.n.18,one percent of the total principal of a loan; it is paid at the time the loan is made and is independent of the interest on the loan
n,n,point,period.n.07,a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations
n,n,point,point.n.20,a V-shaped mark at one end of an arrow pointer
n,n,point,decimal_point.n.01,the dot at the left of a decimal fraction
n,n,point,point.n.22,the property of a shape that tapers to a sharp tip
n,n,point,point.n.23,a distinguishing or individuating characteristic
n,n,point,point.n.24,the gun muzzle's direction
n,n,point,point.n.25,a wall socket
n,n,point,distributor_point.n.01,a contact in the distributor; as the rotor turns its projecting arm contacts them and current flows to the spark plugs
y,y,section,section.n.01,a self-contained part of a larger composition (written or musical)
n,n,section,section.n.02,a very thin slice (of tissue or mineral or other substance) for examination under a microscope
n,n,section,section.n.03,a distinct region or subdivision of a territorial or political area or community or group of people
n,n,section,section.n.04,one of several parts or pieces that fit with others to constitute a whole object
n,n,section,section.n.05,a small team of policemen working as part of a police platoon
n,n,section,part.n.09,one of the portions into which something is regarded as divided and which together constitute a whole
n,n,section,section.n.07,a land unit equal to 1 square mile
n,n,section,section.n.08,(geometry) the area created by a plane cutting through a solid
n,n,section,section.n.09,a small class of students who are part of a larger course but are taught separately
n,n,section,section.n.10,a division of an orchestra containing all instruments of the same class
n,n,section,section.n.11,a small army unit usually having a special function
n,n,section,department.n.01,a specialized division of a large organization
n,n,section,section.n.13,a segment of a citrus fruit
n,n,section,incision.n.02,the cutting of or into body tissues or organs (especially by a surgeon as part of an operation)
n,n,way,manner.n.01,how something is done or how it happens
n,y,way,means.n.01,how a result is obtained or an end is achieved
n,n,way,direction.n.01,a line leading to a place or point
n,n,way,way.n.04,the condition of things generally
n,n,way,way.n.05,a course of conduct
n,n,way,way.n.06,any artifact consisting of a road or path affording passage from one place to another
n,n,way,way.n.07,a journey or passage
n,n,way,room.n.02,space for movement
n,n,way,way.n.09,the property of distance in general
n,n,way,way.n.10,doing as one pleases or chooses
y,n,way,way.n.11,a general category of things; used in the expression `in the way of'
n,n,way,way.n.12,a portion of something divided into shares
n,n,option,option.n.01,the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n,y,option,option.n.02,one of a number of things from which only one can be chosen
n,n,option,choice.n.02,the act of choosing or selecting
n,n,time,time.n.01,an instance or single occasion for some event
n,n,time,time.n.02,a period of time considered as a resource under your control and sufficient to accomplish something
n,n,time,time.n.03,an indefinite period (usually marked by specific attributes or activities)
n,n,time,time.n.04,a suitable moment
n,n,time,time.n.05,the continuum of experience in which events pass from the future through the present to the past
n,n,time,time.n.06,a person's experience on a particular occasion
n,n,time,clock_time.n.01,a reading of a point in time as given by a clock
n,n,time,fourth_dimension.n.01,the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event
n,n,time,meter.n.04,rhythm as given by division into parts of equal duration
n,n,time,prison_term.n.01,the period of time a prisoner is imprisoned
y,y,message,message.n.01,a communication (usually brief) that is written or spoken or signaled
n,y,message,message.n.02,what a communication that is about something is about
y,n,function,function.n.01,(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n,n,function,function.n.02,what something is used for
n,n,function,function.n.03,the actions and activities assigned to or required or expected of a person or group
n,n,function,function.n.04,a relation such that one thing is dependent on another
n,n,function,function.n.05,a formal or official social gathering or ceremony
n,n,function,affair.n.03,a vaguely specified social event
y,n,function,routine.n.03,"a set sequence of steps, part of larger computer program"
y,y,chapter,chapter.n.01,a subdivision of a written work; usually numbered and titled
n,n,chapter,chapter.n.02,any distinct period in history or in a person's life
n,n,chapter,chapter.n.03,a local branch of some fraternity or association
n,n,chapter,chapter.n.04,an ecclesiastical assembly of the monks in a monastery or even of the canons of a church
n,n,chapter,chapter.n.05,a series of related events forming an episode
