y,page,page.n.01,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
n,page,page.n.02,English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
n,page,page.n.03,United States diplomat and writer about the Old South (1853-1922)
n,page,page.n.04,a boy who is employed to run errands
n,page,page.n.05,a youthful attendant at official functions or ceremonies such as legislative functions and weddings
n,page,page.n.06,in medieval times a youth acting as a knight's attendant as the first stage in training for knighthood
y,book,book.n.01,a written work or composition that has been published (printed on pages bound together)
y,book,book.n.02,physical objects consisting of a number of pages bound together
y,book,record.n.05,a compilation of the known facts regarding something or someone
y,book,script.n.01,a written version of a play or other dramatic composition; used in preparing for a performance
y,book,ledger.n.01,a record in which commercial accounts are recorded
n,book,book.n.06,a collection of playing cards satisfying the rules of a card game
y,book,book.n.07,a collection of rules or prescribed standards on the basis of which decisions are made
y,book,koran.n.01,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
y,book,bible.n.01,the sacred writings of the Christian religions
y,book,book.n.10,a major division of a long written composition
n,book,book.n.11,a number of sheets (ticket or stamps etc.) bound together on one edge
n,case,case.n.01,an occurrence of something
n,case,event.n.02,a special set of circumstances
y,case,lawsuit.n.01,a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
n,case,case.n.04,the actual state of things
n,case,case.n.05,a portable container for carrying several objects
n,case,case.n.06,a person requiring professional services
n,case,subject.n.06,a person who is subjected to experimental or other observational procedures; someone who is an object of investigation
n,case,case.n.08,a problem requiring investigation
y,case,case.n.09,a statement of facts and reasons used to support an argument
n,case,case.n.10,the quantity contained in a case
n,case,case.n.11,nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence
n,case,case.n.12,a specific state of mind that is temporary
n,case,character.n.05,a person of a specified kind (usually with many eccentricities)
n,case,font.n.01,a specific size and style of type within a type family
n,case,sheath.n.02,an enveloping structure or covering enclosing an animal or plant organ or part
n,case,shell.n.08,the housing or outer covering of something
n,case,casing.n.03,the enclosing frame around a door or window opening
n,case,case.n.18,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers"
n,case,case.n.19,bed linen consisting of a cover for a pillow
n,case,case.n.20,a glass container used to store and display items in a shop or museum or home
y,example,example.n.01,an item of information that is typical of a class or group
y,example,model.n.07,a representative form or pattern
n,example,exemplar.n.01,something to be imitated
n,example,example.n.04,punishment intended as a warning to others
n,example,case.n.01,an occurrence of something
y,example,exercise.n.04,a task performed or problem solved in order to develop skill or understanding
n,point,point.n.01,a geometric element that has position but no extension
n,point,point.n.02,the precise location of something; a spatially limited location
y,point,point.n.03,a brief version of the essential meaning of something
y,point,detail.n.01,an isolated fact that is considered separately from the whole
n,point,degree.n.02,a specific identifiable position in a continuum or series or especially in a process
n,point,point.n.06,an instant of time
n,point,point.n.07,the object of an activity
n,point,point.n.08,a V shape
n,point,point.n.09,a very small circular shape
n,point,point.n.10,the unit of counting in scoring a game or contest
n,point,point.n.11,a promontory extending out into a large body of water
y,point,item.n.01,a distinct part that can be specified separately in a group of things that could be enumerated on a list
y,point,point.n.13,a style in speech or writing that arrests attention and has a penetrating or convincing quality or effect
n,point,point.n.14,an outstanding characteristic
n,point,point.n.15,sharp end
n,point,compass_point.n.01,any of 32 horizontal directions indicated on the card of a compass
